size_kb,T_upload,T_download,T_total
500.0,162.6873016357422,28.12027931213379,190.80758094787598
1000.0,38.41233253479004,83.38046073913574,121.79279327392578
1500.0,27.513504028320312,35.81809997558594,63.33160400390625
2000.0,59.06391143798828,49.38316345214844,108.44707489013672
2500.0,34.982919692993164,49.82948303222656,84.81240272521973
3000.0,47.654151916503906,49.633026123046875,97.28717803955078
3500.0,63.276052474975586,81.92300796508789,145.19906044006348
4000.0,42.258501052856445,71.23804092407227,113.49654197692871
4500.0,77.07738876342773,69.67377662658691,146.75116539001465
5000.0,87.83459663391113,100.36325454711914,188.19785118103027
5500.0,98.97112846374512,104.31218147277832,203.28330993652344
6000.0,95.99876403808594,132.5826644897461,228.58142852783203
6500.0,92.18239784240723,133.05306434631348,225.2354621887207
7000.0,90.62051773071289,159.81006622314453,250.43058395385742
7500.0,70.43027877807617,126.75309181213379,197.18337059020996
8000.0,84.14292335510254,138.9472484588623,223.09017181396484
8500.0,114.50767517089844,176.39851570129395,290.9061908721924
9000.0,125.56052207946777,159.6674919128418,285.22801399230957
9500.0,117.47407913208008,156.2972068786621,273.7712860107422
10000.0,144.54269409179688,162.8744602203369,307.4171543121338
10500.0,143.99099349975586,181.08057975769043,325.0715732574463
11000.0,132.96198844909668,181.2155246734619,314.1775131225586
11500.0,161.1485481262207,186.64264678955078,347.7911949157715
12000.0,153.60212326049805,210.85596084594727,364.4580841064453
12500.0,201.8430233001709,182.3720932006836,384.2151165008545
13000.0,186.86294555664062,212.22949028015137,399.092435836792
13500.0,160.4483127593994,196.76637649536133,357.21468925476074
14000.0,192.27981567382812,264.117956161499,456.39777183532715
14500.0,175.7659912109375,231.69660568237305,407.46259689331055
15000.0,253.96299362182617,252.36916542053223,506.3321590423584
15500.0,195.35017013549805,256.5586566925049,451.90882682800293
16000.0,232.04398155212402,244.62008476257324,476.66406631469727
16500.0,212.89777755737305,249.4790554046631,462.37683296203613
17000.0,247.8935718536377,347.29909896850586,595.1926708221436
17500.0,290.5559539794922,238.91758918762207,529.4735431671143
18000.0,271.2435722351074,301.6855716705322,572.9291439056396
18500.0,251.509428024292,324.0227699279785,575.5321979522705
19000.0,260.7288360595703,328.77397537231445,589.5028114318848
19500.0,249.51553344726562,326.8306255340576,576.3461589813232
20000.0,284.00182723999023,357.20300674438477,641.204833984375
20500.0,183.29620361328125,237.40291595458984,420.6991195678711
21000.0,237.25390434265137,350.0239849090576,587.277889251709
21500.0,297.9710102081299,400.2804756164551,698.251485824585
22000.0,352.22864151000977,396.53706550598145,748.7657070159912
22500.0,343.0466651916504,418.5914993286133,761.6381645202637
23000.0,366.20116233825684,382.5826644897461,748.7838268280029
23500.0,337.30316162109375,366.2068843841553,703.510046005249
24000.0,318.33887100219727,414.8142337799072,733.1531047821045
24500.0,333.1952095031738,395.65157890319824,728.8467884063721
25000.0,319.5500373840332,474.149227142334,793.6992645263672
25500.0,332.81445503234863,408.68639945983887,741.5008544921875
26000.0,425.2452850341797,418.8852310180664,844.1305160522461
26500.0,380.1581859588623,418.0312156677246,798.1894016265869
27000.0,379.41598892211914,454.242467880249,833.6584568023682
27500.0,343.60432624816895,418.276309967041,761.88063621521
28000.0,448.94909858703613,411.26203536987305,860.2111339569092
28500.0,372.45774269104004,515.9361362457275,888.3938789367676
29000.0,357.9733371734619,452.3448944091797,810.3182315826416
